Date,Close,Open,High,Low,Vol.,Change %
"Dec 30, 2021",192.70,192.60,194.30,190.60,580.81K,0.05%
"Dec 29, 2021",192.60,191.30,194.00,191.30,377.99K,-0.10%
"Dec 28, 2021",192.80,192.10,193.50,189.90,776.45K,0.89%
"Dec 27, 2021",191.10,193.00,194.50,190.00,975.68K,-0.88%
"Dec 26, 2021",192.80,196.00,196.00,192.00,395.50K,-1.28%
"Dec 23, 2021",195.30,196.60,197.40,194.80,277.36K,-0.61%
"Dec 22, 2021",196.50,196.90,199.20,196.00,295.59K,-0.20%
"Dec 21, 2021",196.90,195.30,198.90,195.30,574.17K,0.82%
"Dec 20, 2021",195.30,197.80,198.80,193.80,321.85K,-1.51%
"Dec 19, 2021",198.30,203.20,203.50,198.00,254.01K,-2.36%
"Dec 15, 2021",203.10,197.30,204.00,197.30,375.23K,2.47%
"Dec 14, 2021",198.20,198.50,204.50,197.00,667.91K,0.00%
"Dec 13, 2021",198.20,201.00,204.60,197.60,471.81K,-1.15%
"Dec 12, 2021",200.50,209.00,209.00,199.90,465.31K,-2.72%
"Dec 09, 2021",206.10,208.00,209.00,205.40,316.97K,-0.43%
"Dec 08, 2021",207.00,209.10,212.90,206.00,628.50K,-1.99%
"Dec 07, 2021",211.20,209.70,212.50,206.80,901.50K,2.18%
"Dec 06, 2021",206.70,206.50,208.40,205.20,344.61K,-0.39%
"Dec 05, 2021",207.50,209.20,212.00,205.80,405.63K,-0.77%
"Dec 02, 2021",209.10,203.00,211.00,195.30,1.07M,1.60%
"Dec 01, 2021",205.80,199.00,207.90,195.50,787.40K,6.91%
"Nov 30, 2021",192.50,200.00,203.00,190.90,2.51M,-3.94%
"Nov 29, 2021",200.40,206.20,209.90,197.60,1.78M,-2.58%
"Nov 28, 2021",205.70,214.00,214.00,204.80,528.61K,-3.65%
"Nov 25, 2021",213.50,215.60,217.80,212.20,381.66K,-1.70%
"Nov 24, 2021",217.20,223.00,224.80,216.40,822.17K,-1.54%
"Nov 23, 2021",220.60,212.20,222.50,212.00,1.31M,2.37%
"Nov 21, 2021",215.50,215.00,217.00,213.50,418.23K,-0.42%
"Nov 18, 2021",216.40,222.50,222.50,216.00,416.37K,-1.90%
"Nov 17, 2021",220.60,217.00,222.00,215.00,1.16M,2.18%
"Nov 16, 2021",215.90,219.90,220.50,212.00,2.31M,0.23%
"Nov 15, 2021",215.40,219.70,219.80,215.00,661.29K,-1.91%
"Nov 14, 2021",219.60,227.60,227.60,215.10,506.57K,-3.51%
"Nov 11, 2021",227.60,230.00,230.00,225.50,814.25K,0.35%
"Nov 10, 2021",226.80,228.50,234.00,225.90,1.39M,1.52%
"Nov 09, 2021",223.40,225.00,226.40,219.70,1.69M,1.96%
"Nov 08, 2021",219.10,224.10,227.00,215.70,1.43M,-2.23%
"Nov 07, 2021",224.10,228.50,229.30,221.50,712.81K,-1.93%
"Nov 04, 2021",228.50,224.90,229.20,223.00,1.04M,1.51%
"Nov 03, 2021",225.10,225.00,229.80,223.60,969.32K,-1.10%
"Nov 02, 2021",227.60,226.00,230.90,225.50,1.67M,1.16%
"Nov 01, 2021",225.00,216.00,228.00,214.20,1.58M,5.34%
"Oct 31, 2021",213.60,214.10,217.10,213.20,866.83K,0.52%
"Oct 28, 2021",212.50,214.80,217.70,211.80,785.19K,-0.84%
"Oct 27, 2021",214.30,218.30,219.80,213.10,997.97K,-1.65%
"Oct 26, 2021",217.90,220.00,223.00,212.60,1.17M,0.09%
